City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
151,Alofi,NU,2021-05-28 01:45:00,-19.0595,-169.9187,82.29,74,40,8.05,scattered clouds
152,Bargarh,IN,2021-05-28 01:49:41,21.3333,83.6167,83.91,56,100,3.29,overcast clouds
153,Gizo,SB,2021-05-28 01:49:41,-8.103,156.8419,77.76,93,100,10.92,heavy intensity rain
154,Pisco,PE,2021-05-28 01:49:41,-13.7,-76.2167,66.25,82,90,8.05,overcast clouds
155,Taltal,CL,2021-05-28 01:45:46,-25.4,-70.4833,61.34,84,24,2.1,few clouds
156,Straumen,NO,2021-05-28 01:49:42,63.8709,11.2999,45.95,85,18,1.45,few clouds
157,Velyka Bilozerka,UA,2021-05-28 01:49:42,47.2776,34.7062,61.47,66,18,1.86,few clouds
158,Brawley,US,2021-05-28 01:49:43,32.9787,-115.5303,98.85,4,1,10.0,clear sky
159,Agua Dulce,MX,2021-05-28 01:49:43,18.1333,-94.1333,81.12,79,28,9.06,scattered clouds
160,Hanstholm,DK,2021-05-28 01:49:43,57.1167,8.6167,49.62,95,20,6.85,few clouds
161,Roebourne,AU,2021-05-28 01:49:44,-20.7833,117.1333,81.36,40,47,18.9,scattered clouds
162,Kogon,UZ,2021-05-28 01:49:44,39.7228,64.5517,73.44,46,0,4.61,clear sky
163,Lebu,CL,2021-05-28 01:49:44,-37.6167,-73.65,54.1,84,66,11.65,broken clouds
164,Geraldton,AU,2021-05-28 01:49:45,-28.7667,114.6,64.81,72,40,7.9,light rain
165,Black River,JM,2021-05-28 01:49:45,18.0264,-77.8487,80.6,84,15,2.17,few clouds
166,Marabba,SD,2021-05-28 01:49:45,12.35,32.1833,86.52,44,8,13.44,clear sky
167,Vaini,TO,2021-05-28 01:49:46,-21.2,-175.2,77.16,73,20,10.36,few clouds
168,Sambava,MG,2021-05-28 01:49:46,-14.2667,50.1667,69.44,83,0,7.9,clear sky
169,Souillac,MU,2021-05-28 01:49:46,-20.5167,57.5167,74.35,88,75,6.42,broken clouds
170,Kolno,PL,2021-05-28 01:49:47,53.4115,21.9291,42.91,93,63,4.09,broken clouds
171,Bambous Virieux,MU,2021-05-28 01:49:47,-20.3428,57.7575,74.21,88,75,9.4,broken clouds
172,Alyangula,AU,2021-05-28 01:49:48,-13.8483,136.4192,80.47,61,63,17.38,broken clouds
173,Praia,CV,2021-05-28 01:49:48,14.9215,-23.5087,70.34,78,20,13.8,few clouds
174,Saint George,US,2021-05-28 01:45:06,37.1041,-113.5841,93.67,10,1,4.0,clear sky
175,Hualmay,PE,2021-05-28 01:49:48,-11.0964,-77.6139,65.35,92,44,6.69,scattered clouds
176,Nelson Bay,AU,2021-05-28 01:49:49,-32.7167,152.15,64.29,55,71,4.0,broken clouds
177,Anchorage,US,2021-05-28 01:46:56,61.2181,-149.9003,58.64,69,1,4.0,clear sky
178,Evensk,RU,2021-05-28 01:49:49,61.95,159.2333,40.26,81,88,6.8,light rain
179,Port Macquarie,AU,2021-05-28 01:49:49,-31.4333,152.9167,64.89,51,0,15.43,clear sky
180,Komsomolskiy,UZ,2021-05-28 01:49:50,40.4272,71.7189,74.12,35,0,4.61,clear sky
181,Siavonga,ZM,2021-05-28 01:49:50,-16.5382,28.7088,58.48,56,0,4.14,clear sky
182,Mariental,NA,2021-05-28 01:49:50,-24.6333,17.9667,57.04,32,12,5.35,few clouds
