City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
181,Bambous Virieux,MU,2021-05-28 01:28:08,-20.3428,57.7575,74.21,88,75,9.55
182,Biak,ID,2021-05-28 01:37:18,-0.9131,122.8766,83.14,68,13,6.46
183,Hanna,CA,2021-05-28 01:37:19,51.6334,-111.9018,74.71,32,63,11.99
184,Fort Nelson,CA,2021-05-28 01:30:07,58.8053,-122.7002,63.99,25,75,8.05
185,Saskylakh,RU,2021-05-28 01:33:09,71.9167,114.0833,34.97,66,93,5.14
186,Tilichiki,RU,2021-05-28 01:37:19,60.4667,166.1,38.48,82,97,11.41
187,Port Hardy,CA,2021-05-28 01:27:55,50.6996,-127.4199,50.18,87,75,9.22
188,Matay,EG,2021-05-28 01:37:20,28.419,30.7792,74.7,42,0,9.01
189,Cherskiy,RU,2021-05-28 01:31:08,68.75,161.3,60.22,27,100,20.36
190,Jamestown,US,2021-05-28 01:27:29,42.097,-79.2353,56.52,66,1,4.61
191,Debre Birhan,ET,2021-05-28 01:37:21,9.6833,39.5333,50.92,67,21,2.48
192,Nara,JP,2021-05-28 01:32:03,34.6851,135.8049,72.5,54,100,3.94
193,Whitehorse,CA,2021-05-28 01:29:41,60.7161,-135.0538,64.02,24,75,17.0
194,Oka,CA,2021-05-28 01:37:21,45.4649,-74.0889,51.94,47,21,10.71
195,Shiliguri,IN,2021-05-28 01:37:21,26.7,88.4333,74.32,86,100,12.06
196,Banyo,CM,2021-05-28 01:37:22,6.75,11.8167,64.87,96,93,1.86
197,Sibolga,ID,2021-05-28 01:33:26,1.7427,98.7792,81.1,81,100,0.54
198,Vostok,RU,2021-05-28 01:31:24,46.4856,135.8833,59.43,45,98,2.3
199,Umm Lajj,SA,2021-05-28 01:37:23,25.0213,37.2685,82.98,76,55,3.44
200,Pacific Grove,US,2021-05-28 01:30:28,36.6177,-121.9166,76.55,82,75,4.0
201,Roth,DE,2021-05-28 01:37:23,49.245,11.0911,50.47,98,90,2.57
202,Banka,IN,2021-05-28 01:37:23,24.8833,86.9167,81.81,79,100,15.97
203,Oranjemund,NA,2021-05-28 01:37:24,-28.55,16.4333,54.7,85,6,3.94
204,Aklavik,CA,2021-05-28 01:31:54,68.2191,-135.0107,32.83,63,100,16.67
205,Ponta Do Sol,PT,2021-05-28 01:31:36,32.6667,-17.1,63.72,77,28,3.87
206,Murgab,TM,2021-05-28 01:37:24,37.4966,61.9714,75.07,46,0,15.37
207,Upata,VE,2021-05-28 01:37:25,8.0086,-62.3989,71.91,93,100,6.02
208,Narsaq,GL,2021-05-28 01:31:15,60.9167,-46.05,52.02,64,67,6.06
209,East London,ZA,2021-05-28 01:30:08,-33.0153,27.9116,61.21,76,41,6.89
210,Torbay,CA,2021-05-28 01:31:51,47.6666,-52.7314,54.75,96,90,18.41
211,Ulladulla,AU,2021-05-28 01:37:25,-35.35,150.4667,59.9,52,98,16.96
212,Coihaique,CL,2021-05-28 01:32:11,-45.5752,-72.0662,39.15,100,90,3.44
213,Sangueya,GN,2021-05-28 01:37:26,10.7,-14.3667,76.03,83,85,3.06
214,Kerman,IR,2021-05-28 01:37:26,30.2832,57.0788,55.26,38,0,4.16
215,Muisne,EC,2021-05-28 01:37:27,0.6,-80.0333,76.73,87,94,10.63
216,Rawson,AR,2021-05-28 01:32:35,-43.3002,-65.1023,54.97,46,100,14.0
217,Khash,IR,2021-05-28 01:37:27,28.2211,61.2158,75.45,20,0,3.22
218,Lerici,IT,2021-05-28 01:37:28,44.0759,9.9112,57.76,90,0,1.01
219,Puerto Escondido,MX,2021-05-28 01:30:37,15.85,-97.0667,85.03,65,75,5.75
220,Marquette,US,2021-05-28 01:37:28,46.5333,-87.6335,34.77,68,100,5.55
221,Ribeira Grande,PT,2021-05-28 01:27:31,38.5167,-28.7,59.65,64,100,8.12
222,Henties Bay,NA,2021-05-28 01:37:29,-22.116,14.2845,61.09,83,5,6.73
223,Chum Phae,TH,2021-05-28 01:37:29,16.5443,102.0992,85.66,67,94,0.6
224,Bakaly,RU,2021-05-28 01:37:29,55.1789,53.8028,53.69,74,0,2.13
225,Iwaki,JP,2021-05-28 01:37:30,37.05,140.8833,75.78,63,100,5.99
226,Ahipara,NZ,2021-05-28 01:28:34,-35.1667,173.1667,62.22,74,5,13.33
227,San Gabriel,US,2021-05-28 01:37:30,34.0961,-118.1058,84.11,59,1,1.99
228,Mudon,MM,2021-05-28 01:37:30,16.2578,97.7164,82.6,77,92,2.93
229,Port Macquarie,AU,2021-05-28 01:37:31,-31.4333,152.9167,63.9,51,0,15.43
230,Yashkul,RU,2021-05-28 01:37:31,46.1711,45.3435,64.8,80,83,1.83
231,Boguchany,RU,2021-05-28 01:37:31,58.3814,97.4531,49.5,56,100,9.98
232,Codrington,AU,2021-05-28 01:37:32,-38.2667,141.9667,55.29,54,98,10.11
233,Salta,AR,2021-05-28 01:35:12,-24.7859,-65.4117,53.89,88,43,1.01
234,Dickinson,US,2021-05-28 01:37:32,29.4608,-95.0513,82.62,81,75,1.99
235,Quang Ngai,VN,2021-05-28 01:37:33,15.1167,108.8,92.68,54,89,3.11
236,Lafia,NG,2021-05-28 01:37:33,8.4833,8.5167,77.41,85,60,4.0
237,Sault Sainte Marie,CA,2021-05-28 01:35:44,46.5168,-84.3333,41.29,64,1,9.22
238,Egvekinot,RU,2021-05-28 01:37:34,66.3167,-179.1667,39.0,63,91,9.37
239,Nemuro,JP,2021-05-28 01:37:34,43.3236,145.575,50.43,98,100,12.95
240,Mandan,US,2021-05-28 01:37:34,46.8267,-100.8896,49.98,52,90,4.61
241,Dalvik,IS,2021-05-28 01:37:35,65.9702,-18.5286,42.73,50,1,8.7
242,Seymchan,RU,2021-05-28 01:37:35,62.8833,152.4333,54.86,38,100,17.72
243,Nome,US,2021-05-28 01:32:48,64.5011,-165.4064,61.11,33,1,12.66
244,Mehran,IR,2021-05-28 01:37:35,33.1222,46.1646,76.48,15,0,4.81
245,Santa Cruz,BO,2021-05-28 01:35:35,-17.8,-63.1667,74.66,83,75,12.57
246,Victoria Point,AU,2021-05-28 01:37:36,-27.5833,153.3,72.09,58,0,3.0
247,Soloneshnoye,RU,2021-05-28 01:37:36,51.6544,84.3197,49.87,85,69,5.77
248,Nairn,GB,2021-05-28 01:37:36,57.5809,-3.8797,48.74,94,75,2.71
249,La Ronge,CA,2021-05-28 01:33:30,55.1001,-105.2842,64.62,27,20,13.8
250,San Patricio,US,2021-05-28 01:28:19,28.017,-97.5169,82.81,85,28,16.08
251,Embonas,GR,2021-05-28 01:37:37,36.2269,27.8564,63.84,82,2,7.99
252,Oussouye,SN,2021-05-28 01:37:37,12.485,-16.5469,74.79,74,20,3.15
253,Rio Pardo De Minas,BR,2021-05-28 01:37:38,-15.6097,-42.5397,67.23,70,16,4.43
254,Hasaki,JP,2021-05-28 01:28:17,35.7333,140.8333,77.4,68,100,2.17
255,Belaya Gora,RU,2021-05-28 01:37:38,68.5333,146.4167,63.1,30,100,13.89
256,Tuatapere,NZ,2021-05-28 01:32:09,-46.1333,167.6833,49.82,87,100,3.13
257,Mackay,AU,2021-05-28 01:34:47,-21.15,149.2,73.69,35,0,9.22
258,Kongolo,CD,2021-05-28 01:37:39,-5.3833,27.0,70.02,68,71,2.95
259,Maragogi,BR,2021-05-28 01:37:39,-9.0122,-35.2225,76.6,84,74,11.74
260,Husavik,IS,2021-05-28 01:31:00,66.0449,-17.3389,42.71,60,8,15.23
261,Nenjiang,CN,2021-05-28 01:37:40,49.1833,125.2167,61.23,49,70,7.87
262,Pochutla,MX,2021-05-28 01:33:21,15.7432,-96.4661,86.83,68,88,4.36
263,Banda Aceh,ID,2021-05-28 01:37:40,5.5577,95.3222,85.35,65,77,13.15
264,North Bend,US,2021-05-28 01:33:31,43.4065,-124.2243,61.99,68,75,9.22
265,Jinsha,CN,2021-05-28 01:37:41,32.0898,121.0735,82.02,58,100,18.9
266,Bathsheba,BB,2021-05-28 01:30:10,13.2167,-59.5167,81.21,61,20,16.31
267,Paka,MY,2021-05-28 01:37:41,4.6374,103.4368,82.33,83,20,4.12
268,Gay,RU,2021-05-28 01:37:41,51.4666,58.4552,50.52,55,7,8.5
269,Kungurtug,RU,2021-05-28 01:33:29,50.5994,97.5228,64.89,47,7,1.1
270,Clonakilty,IE,2021-05-28 01:37:42,51.6231,-8.8706,51.1,93,100,9.35
271,Kavieng,PG,2021-05-28 01:31:27,-2.5744,150.7967,80.6,84,99,7.49
272,Revelstoke,CA,2021-05-28 01:34:23,50.9832,-118.2023,53.62,76,75,3.44
273,Arraial Do Cabo,BR,2021-05-28 01:30:35,-22.9661,-42.0278,72.21,87,1,6.76
274,Moyale,KE,2021-05-28 01:37:43,3.5167,39.0584,62.62,92,68,5.73
275,Angoche,MZ,2021-05-28 01:37:43,-16.2325,39.9086,71.13,79,57,5.93
276,Kidal,ML,2021-05-28 01:31:07,18.4411,1.4078,90.72,5,100,9.71
277,Kauhajoki,FI,2021-05-28 01:37:43,62.4333,22.1833,41.67,97,11,1.5
278,Armizonskoye,RU,2021-05-28 01:37:44,55.9461,67.6736,49.41,62,7,2.13
279,Port Blair,IN,2021-05-28 01:33:50,11.6667,92.75,80.64,89,40,0.0
280,Lagoa,PT,2021-05-28 01:32:31,39.05,-27.9833,58.44,59,82,5.12
281,Morondava,MG,2021-05-28 01:37:44,-20.2833,44.2833,66.51,85,1,6.67
282,Nagaur,IN,2021-05-28 01:37:45,27.2,73.7333,91.81,36,5,15.79
283,Ugoofaaru,MV,2021-05-28 01:37:45,5.6667,73.0,82.22,77,43,19.75
284,Kiunga,PG,2021-05-28 01:37:46,-6.1219,141.2906,84.96,61,100,4.27
285,Hithadhoo,MV,2021-05-28 01:30:17,-0.6,73.0833,81.72,79,100,19.08
286,Natal,BR,2021-05-28 01:35:37,-5.795,-35.2094,77.22,83,40,8.25
287,Rassvet,RU,2021-05-28 01:37:46,46.8333,40.75,66.4,80,96,2.24
288,Itoman,JP,2021-05-28 01:37:46,26.1247,127.6694,84.58,92,75,14.97
289,Lagunas,PE,2021-05-28 01:37:47,-5.2269,-75.6753,74.73,87,9,1.95
290,Bilma,NE,2021-05-28 01:29:07,18.6853,12.9164,84.63,7,1,5.17
291,Kathu,TH,2021-05-28 01:32:23,7.9178,98.3332,82.62,88,100,9.82
292,Nzerekore,GN,2021-05-28 01:37:48,7.7562,-8.8179,70.3,99,48,1.81
293,Salalah,OM,2021-05-28 01:29:20,17.0151,54.0924,82.49,83,40,6.91
294,Vrangel,RU,2021-05-28 01:37:48,42.7297,133.0839,52.07,88,100,4.43
295,Lewistown,US,2021-05-28 01:37:48,40.5992,-77.5714,67.89,1,1,8.05
