City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
371,Sur,OM,86.88,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
377,Makakilo City,US,86.32,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
378,Huntsville,US,76.82,scattered clouds,34.7304,-86.5861,Embassy Suites by Hilton Huntsville Hotel & Spa
379,Kontagora,NG,79.57,overcast clouds,10.3999,5.4695,Queens Guest Inn
386,Touros,BR,76.1,few clouds,-5.1989,-35.4608,INN NEW HORIZON
387,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
397,Banting,MY,82.53,broken clouds,2.8167,101.5,Hotel Intan Jugra
398,Koumac,NC,75.92,scattered clouds,-20.5667,164.2833,Le Monitel
402,Bilma,NE,83.64,clear sky,18.6853,12.9164,Expeditions Ténére voyages
405,Shimoda,JP,78.12,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
408,Patti,IN,84.27,clear sky,31.2808,74.8572,Patti
412,Brownsville,US,83.08,broken clouds,25.9018,-97.4975,University Inn & Suites
417,Awbari,LY,83.71,scattered clouds,26.5921,12.7805,فندق أوباري
425,Mecca,SA,84.29,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
429,Mahonda,TZ,77.11,light rain,-6.45,39.4667,Karamba Resort
430,Maragogi,BR,76.6,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
435,Belmonte,BR,75.7,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
438,Gorontalo,ID,87.98,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
445,Fuzhou,CN,78.69,overcast clouds,26.0614,119.3061,Shangri La Hotel Fuzhou
446,Pangal,IN,83.19,overcast clouds,16.2761,78.1189,వంగలి శివరాజు
447,Maicao,CO,79.84,overcast clouds,11.3832,-72.2432,Hotel Sancho
449,Keti Bandar,PK,84.13,clear sky,24.1447,67.4497,Haji laloo memon house
451,San-Pedro,CI,77.95,broken clouds,4.7485,-6.6363,Hotel Maria
452,Mataram,ID,85.01,overcast clouds,-8.5833,116.1167,Hotel Santika Mataram
453,Lingao,CN,88.84,broken clouds,19.9103,109.6859,Lingao Ditai Inn
456,Papetoai,PF,83.79,clear sky,-17.4961,-149.8729,Fare Vaihere
458,Gainesville,US,84.04,overcast clouds,29.6516,-82.3248,"Holiday Inn Gainesville-University Ctr, an IHG Hotel"
